date,active_students,total_clicks,mean_clicks_per_student,std_clicks_per_student,entropy_clicks,dominance_clicks,gini_clicks,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
2013-12-04,17,1881.0,110.6470588235294,105.99663766946495,1.3833043496032258,0.4891015417331207,0.6580424124283772,5.0,354.0,3.0,362.0,0.0,920.0,68.0,142.0,27.0
2013-12-11,19,2132.0,112.21052631578948,114.60484923485588,1.3544754864669521,0.44043151969981237,0.66541588492808,1.0,568.0,4.0,424.0,0.0,939.0,39.0,122.0,35.0
2013-12-18,18,1638.0,91.0,100.11604378031636,1.4042802516523396,0.34493284493284493,0.634649301315968,5.0,535.0,0.0,367.0,0.0,565.0,12.0,101.0,53.0
2013-12-25,22,2200.0,100.0,135.40578744177543,1.3276893993233505,0.36454545454545456,0.658989898989899,0.0,802.0,0.0,447.0,0.0,785.0,24.0,91.0,51.0
2014-01-01,20,3227.0,161.35,161.08298327259774,1.2846481590481127,0.45677099473194915,0.6816100265124125,2.0,1474.0,0.0,717.0,14.0,829.0,11.0,123.0,57.0
2014-01-08,22,3658.0,166.27272727272728,170.0791745624217,1.302547783878095,0.40267905959540734,0.6735921268452706,0.0,1205.0,1.0,731.0,6.0,1473.0,20.0,154.0,68.0
2014-01-15,23,3827.0,166.3913043478261,147.96172805108722,1.3637845192864666,0.37496733733995297,0.6516853932584269,4.0,1213.0,1.0,829.0,0.0,1435.0,21.0,218.0,106.0
2014-01-22,22,2611.0,118.68181818181819,116.69400014320141,1.2735831870773942,0.4304864036767522,0.6799438273969105,0.0,753.0,0.0,581.0,0.0,1124.0,10.0,82.0,61.0
2014-01-29,22,2939.0,133.5909090909091,153.61837576247456,1.3016463377598826,0.37019394351820345,0.6572908396657972,10.0,1088.0,0.0,778.0,0.0,908.0,8.0,87.0,60.0
2014-02-05,23,2387.0,103.78260869565217,115.68133009403525,1.3276881532585976,0.40594888981985755,0.6605222734254992,11.0,654.0,0.0,587.0,0.0,969.0,3.0,100.0,63.0
2014-02-12,23,2618.0,113.82608695652173,104.87659504882828,1.3233978255312298,0.39763177998472116,0.6647143705967236,18.0,807.0,0.0,583.0,0.0,1041.0,4.0,106.0,59.0
2014-02-19,24,2585.0,107.70833333333333,97.9032171614169,1.4088316606739335,0.3323017408123791,0.6260906941758004,16.0,800.0,0.0,653.0,0.0,859.0,4.0,165.0,88.0
2014-02-26,23,1926.0,83.73913043478261,101.1401169240859,1.2798435426290133,0.39667705088265837,0.6687435098650052,0.0,571.0,0.0,487.0,0.0,764.0,8.0,61.0,35.0
2014-03-05,22,1577.0,71.68181818181819,97.69450824969007,1.2954266720314893,0.35256816740646796,0.6568026491932643,0.0,399.0,0.0,532.0,0.0,556.0,6.0,49.0,35.0
2014-03-12,19,1806.0,95.05263157894737,110.0872733617864,1.31397137269424,0.42967884828349945,0.6686354128214593,0.0,417.0,0.0,474.0,0.0,776.0,7.0,81.0,51.0
2014-03-19,16,1027.0,64.1875,75.29211342331945,1.1000012532549954,0.5900681596884129,0.7348263550795197,0.0,186.0,0.0,193.0,0.0,606.0,2.0,23.0,17.0
2014-03-26,18,1333.0,74.05555555555556,61.67159639955119,1.1684377121447864,0.5326331582895724,0.7140118362924065,0.0,283.0,0.0,279.0,0.0,710.0,2.0,38.0,21.0
2014-04-02,20,1891.0,94.55,107.38038694286774,1.2726790821327711,0.40877842411422527,0.6759504083671191,1.0,576.0,0.0,439.0,0.0,773.0,5.0,61.0,36.0
2014-04-09,21,1750.0,83.33333333333333,91.30760847311336,1.3261070651653315,0.3862857142857143,0.6599365079365079,5.0,555.0,4.0,408.0,0.0,676.0,21.0,55.0,26.0
2014-04-16,23,1924.0,83.65217391304348,87.89846350521977,1.4525023672408441,0.36382536382536385,0.6201201201201201,5.0,510.0,0.0,469.0,0.0,700.0,21.0,132.0,87.0
2014-04-23,23,2328.0,101.21739130434783,97.97025126192717,1.3852962822705996,0.4265463917525773,0.6536846124474991,7.0,622.0,0.0,482.0,0.0,993.0,72.0,106.0,46.0
2014-04-30,20,2212.0,110.6,87.25388243511001,1.3368683253602152,0.44801084990958406,0.6676712879244524,10.0,545.0,0.0,481.0,1.0,991.0,6.0,110.0,68.0
2014-05-07,22,2508.0,114.0,115.43908271543837,1.4194322639393229,0.3580542264752791,0.6255537834485203,40.0,677.0,2.0,685.0,0.0,898.0,9.0,123.0,74.0
2014-05-14,21,2942.0,140.0952380952381,185.80658268156287,1.3129064666884882,0.36301835486063905,0.6563184530553667,19.0,957.0,0.0,736.0,0.0,1068.0,3.0,99.0,60.0
2014-05-21,21,2469.0,117.57142857142857,140.10627647426432,1.2897889240582714,0.38598622924260834,0.667476711219117,29.0,817.0,0.0,570.0,0.0,953.0,9.0,60.0,31.0
2014-05-28,21,1879.0,89.47619047619048,83.52679584171038,1.3984836559564864,0.37626397019691327,0.6426586245638934,22.0,575.0,0.0,416.0,0.0,707.0,12.0,95.0,52.0
2014-06-04,20,1623.0,81.15,89.99848609837834,1.5207324928904562,0.3758471965495995,0.6028616416786472,21.0,390.0,0.0,368.0,4.0,610.0,16.0,122.0,92.0
2014-06-11,23,2079.0,90.3913043478261,77.86875196817581,1.3928704491120214,0.3848003848003848,0.6373790818235263,0.0,531.0,0.0,533.0,0.0,800.0,18.0,120.0,77.0
2014-06-18,24,1895.0,78.95833333333333,91.82704719864525,1.4403414910923076,0.39630606860158313,0.629610085019056,5.0,463.0,1.0,447.0,0.0,751.0,25.0,120.0,83.0
2014-06-25,21,1681.0,80.04761904761905,83.15990116034129,1.2756462992676911,0.37477691850089234,0.6653447022275101,7.0,427.0,0.0,544.0,0.0,630.0,12.0,51.0,10.0
2014-07-02,20,1712.0,85.6,87.70598611269358,1.3224148537313958,0.34404205607476634,0.64966251298027,5.0,589.0,0.0,437.0,0.0,579.0,12.0,60.0,30.0
2014-07-09,19,1376.0,72.42105263157895,83.77307430099086,1.3219554780333702,0.436046511627907,0.665374677002584,1.0,600.0,0.0,335.0,0.0,330.0,5.0,62.0,43.0
2014-07-16,18,1155.0,64.16666666666667,73.08157542545636,1.4236712410879884,0.32987012987012987,0.6226070226070226,4.0,381.0,0.0,270.0,0.0,376.0,7.0,58.0,59.0
2014-07-23,20,1677.0,83.85,91.30951483826864,1.384879724302294,0.358974358974359,0.640296826343338,2.0,602.0,0.0,372.0,0.0,531.0,4.0,95.0,71.0
2014-07-30,22,2019.0,91.77272727272727,60.539192277836776,1.4637591723412788,0.34323922734026746,0.6124043806064609,2.0,565.0,0.0,503.0,0.0,693.0,47.0,142.0,67.0
2014-08-06,21,1658.0,78.95238095238095,71.11725809599926,1.298759699426348,0.379372738238842,0.6556761828173168,0.0,629.0,0.0,470.0,0.0,466.0,33.0,47.0,13.0
