date,active_students,total_clicks,mean_clicks_per_student,std_clicks_per_student,entropy_clicks,dominance_clicks,gini_clicks,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
2013-12-04,16,787.0,49.1875,59.320336679337885,1.4656941736356877,0.4434561626429479,0.6248764647748128,0.0,114.0,0.0,172.0,0.0,349.0,33.0,96.0,23.0
2013-12-11,27,751.0,27.814814814814813,27.720879999175153,1.4619670004125689,0.3781624500665779,0.6160674656014203,0.0,169.0,1.0,186.0,0.0,284.0,51.0,56.0,4.0
2013-12-18,24,1006.0,41.916666666666664,48.91993174793095,1.4826307357215174,0.3926441351888668,0.6185111552904794,1.0,221.0,9.0,240.0,0.0,395.0,37.0,91.0,12.0
2013-12-25,31,1380.0,44.516129032258064,54.73270589595428,1.3978619700985235,0.35,0.6355877616747182,6.0,437.0,3.0,335.0,0.0,483.0,31.0,70.0,15.0
2014-01-01,32,1872.0,58.5,53.02593704971181,1.4575520361611578,0.37286324786324787,0.6271367521367521,1.0,553.0,1.0,395.0,16.0,698.0,51.0,119.0,38.0
2014-01-08,39,1580.0,40.51282051282051,39.44218215401308,1.3638723239513975,0.4550632911392405,0.6625879043600562,0.0,371.0,0.0,307.0,3.0,719.0,14.0,128.0,38.0
2014-01-15,39,2776.0,71.17948717948718,51.33093823660186,1.4509338387021162,0.4275936599423631,0.6352065321805955,2.0,664.0,11.0,491.0,0.0,1187.0,46.0,287.0,88.0
2014-01-22,26,662.0,25.46153846153846,28.008557441268344,1.2011773297615866,0.552870090634441,0.716012084592145,0.0,96.0,0.0,147.0,0.0,366.0,3.0,39.0,11.0
2014-01-29,29,843.0,29.06896551724138,35.91266324972943,1.2765040675266155,0.5302491103202847,0.6948728087518123,0.0,117.0,1.0,185.0,1.0,447.0,4.0,68.0,20.0
2014-02-05,27,792.0,29.333333333333332,35.33228509975502,1.228803941712799,0.5934343434343434,0.7028619528619529,3.0,102.0,0.0,123.0,0.0,470.0,10.0,68.0,16.0
2014-02-12,26,838.0,32.23076923076923,43.73109058808926,1.3956295221128436,0.44749403341288785,0.651020949350305,0.0,194.0,0.0,164.0,0.0,375.0,22.0,64.0,19.0
