omega,phi,eta,xi,delta,rscore,label,sample_idx
0.5033231113724458,0.0,0.4966768886275542,1.0,0.49685799446140244,0.0,1,0
0.5058418471780078,0.0,0.49415815282199216,1.0,0.4942614633137621,0.0,1,1
0.5078767526526394,0.0,0.49212324734736057,1.0,0.49201911385593317,0.0,1,2
0.5027139276908149,0.0,0.4972860723091851,1.0,0.4974950271901005,0.0,1,3
0.5042061634605127,0.0,0.4957938365394873,1.0,0.49587105021747946,0.0,1,4
0.5047317320962043,0.0,0.49526826790379574,1.0,0.49516066549080345,0.0,1,5
0.5068435605867329,0.0,0.49315643941326714,1.0,0.49334254958778784,0.0,1,6
0.5065213278063776,0.0,0.4934786721936224,1.0,0.4933019070845495,0.0,1,7
0.505090602009767,0.0,0.49490939799023304,1.0,0.494877700484114,0.0,1,8
0.5085915417967847,0.0,0.4914084582032153,1.0,0.4914024925038026,0.0,1,9
0.5044327432376394,0.0,0.4955672567623606,1.0,0.4957129642404619,0.0,1,10
0.503491873677584,0.0,0.49650812632241603,1.0,0.49645782061783084,0.0,1,11
0.5057865432254415,0.0,0.4942134567745585,1.0,0.49440571023456725,0.0,1,12
0.5038583856187502,0.0,0.4961416143812498,1.0,0.4963308368130513,0.0,1,13
0.5041893439436261,0.0,0.49581065605637387,1.0,0.49592372019381137,0.0,1,14
0.5066891576217523,0.0,0.49331084237824774,1.0,0.4931750333089138,0.0,1,15
0.509089203477434,0.0,0.490910796522566,1.0,0.4910719477760486,0.0,1,16
0.5108369687470735,0.0,0.4891630312529265,1.0,0.4892534011502689,0.0,1,17
0.5056325546996655,0.0,0.4943674453003345,1.0,0.4943240933354394,0.0,1,18
0.5074476506781689,0.0,0.4925523493218311,1.0,0.4924005440118938,0.0,1,19
0.5095080775587425,0.0,0.4904919224412575,1.0,0.49036492054658265,0.0,1,20
0.5031716012433471,0.0,0.49682839875665286,1.0,0.49703391661424373,0.0,1,21
0.5072907652104014,0.0,0.4927092347895986,1.0,0.4927655730747409,0.0,1,22
0.5059847169629338,0.0,0.4940152830370662,1.0,0.4939711500778307,0.0,1,23
0.5067637305574585,0.0,0.4932362694425415,1.0,0.493401936759409,0.0,1,24
0.508701350002875,0.0,0.491298649997125,1.0,0.49139220191232524,0.0,1,25
0.5074590450769011,0.0,0.4925409549230989,1.0,0.4926438664147211,0.0,1,26
0.5056744044276478,0.0,0.4943255955723522,1.0,0.4942314550825406,0.0,1,27
0.5044261918526836,0.0,0.49557380814731644,1.0,0.4958349124363781,0.0,1,28
0.5036426673396469,0.0,0.4963573326603531,1.0,0.4965037479367281,0.0,1,29
0.5059936480835551,0.0,0.49400635191644493,1.0,0.4940363516112262,0.0,1,30
0.5037470203276685,0.0,0.4962529796723315,1.0,0.4963308368130513,0.0,1,31
0.5030440599912925,0.0,0.49695594000870746,1.0,0.49716336383864046,0.0,1,32
0.5039800721029934,0.0,0.49601992789700655,1.0,0.49589571300021185,0.0,1,33
0.5055805559204809,0.0,0.4944194440795191,1.0,0.49451005702695994,0.0,1,34
0.5052697897140368,0.0,0.4947302102859632,1.0,0.4947636647079779,0.0,1,35
0.5068792598312494,0.0,0.4931207401687506,1.0,0.49323343824823757,0.0,1,36
0.5045564654447138,0.0,0.4954435345552862,1.0,0.49528743070969766,0.0,1,37
0.5033846081359212,0.0,0.49661539186407877,1.0,0.49641512429409895,0.0,1,38
0.5040042604270433,0.0,0.49599573957295673,1.0,0.4957635363101223,0.0,1,39
0.5061314789485498,0.0,0.4938685210514502,1.0,0.4940696122741266,0.0,1,40
0.5061312537823291,0.0,0.49386874621767085,1.0,0.49390260028653604,0.0,1,41
0.5078756933909699,0.0,0.49212430660903006,1.0,0.4921290760790851,0.0,1,42
0.5065779697079333,0.0,0.49342203029206666,1.0,0.493401936759409,0.0,1,43
0.5069099109667274,0.0,0.49309008903327256,1.0,0.4930714075959766,0.0,1,44
0.5028495655232103,0.0,0.49715043447678975,1.0,0.497178754948466,0.0,1,45
0.5070555312449094,0.0,0.49294446875509057,1.0,0.49302358147922765,0.0,1,46
0.506759293976081,0.0,0.493240706023919,1.0,0.49332233452096186,0.0,1,47
0.5029802813537665,0.0,0.4970197186462335,1.0,0.4973786003289554,0.0,1,48
0.503669194824267,0.0,0.496330805175733,1.0,0.49635960172685867,0.0,1,49
0.5031596143345677,0.0,0.4968403856654323,1.0,0.4966651334999556,0.0,1,50
0.5110972758673753,0.0,0.4889027241326247,1.0,0.488837418299501,0.0,1,51
0.5068201266334073,0.0,0.49317987336659275,1.0,0.4933182742013856,0.0,1,52
0.5063888508474413,0.0,0.49361114915255866,1.0,0.4935649257292986,0.0,1,53
0.5046379278195758,0.0,0.49536207218042416,1.0,0.4953404926522747,0.0,1,54
0.5059638711437632,0.0,0.4940361288562368,1.0,0.4940592321146059,0.0,1,55
0.5061600194704158,0.0,0.4938399805295842,1.0,0.49384267414981703,0.0,1,56
0.5052527144538573,0.0,0.49474728554614267,1.0,0.49462687108552333,0.0,1,57
0.5058317905840759,0.0,0.4941682094159241,1.0,0.49406600582509996,0.0,1,58
0.504810508606162,0.0,0.49518949139383805,1.0,0.4952814157529255,0.0,1,59
0.5030985471247688,0.0,0.49690145287523124,1.0,0.4968004861911027,0.0,1,60
0.5085419051316343,0.0,0.49145809486836567,1.0,0.49155837387354073,0.0,1,61
0.5042331789063293,0.0,0.49576682109367065,1.0,0.49600926607204615,0.0,1,62
0.5072015415301723,0.0,0.4927984584698277,1.0,0.49282810265695665,0.0,1,63
0.5034119621043324,0.0,0.49658803789566763,1.0,0.4966467698727668,0.0,1,64
0.5067525254676433,0.0,0.49324747453235673,1.0,0.49331359535068603,0.0,1,65
0.5073181056965544,0.0,0.49268189430344556,1.0,0.49276609842415603,0.0,1,66
0.5042273222914394,0.0,0.4957726777085606,1.0,0.49573304837422155,0.0,1,67
0.5040930271148681,0.0,0.49590697288513186,1.0,0.49592642030558115,0.0,1,68
0.5068140772963613,0.0,0.4931859227036387,1.0,0.4933353884033868,0.0,1,69
0.5048552770695318,0.0,0.4951447229304682,1.0,0.4951684792363192,0.0,1,70
0.5035310796600357,0.0,0.49646892033996426,1.0,0.4966467698727668,0.0,1,71
0.5040034308468438,0.0,0.49599656915315615,1.0,0.4961488001544102,0.0,1,72
0.5090498494837625,0.0,0.49095015051623747,1.0,0.49096438866461023,0.0,1,73
0.504061888404481,0.0,0.49593811159551904,1.0,0.4961463665271045,0.0,1,74
0.5060239196780332,0.0,0.4939760803219668,1.0,0.4939661878920199,0.0,1,75
0.5052823886481448,0.0,0.4947176113518552,1.0,0.4946164801861261,0.0,1,76
0.5102046511865598,0.0,0.4897953488134402,1.0,0.489765452428555,0.0,1,77
0.5087891975612969,0.0,0.4912108024387031,1.0,0.4911268846014406,0.0,1,78
0.5101107188868107,0.0,0.4898892811131893,1.0,0.48988614921844803,0.0,1,79
0.5085947829938301,0.0,0.4914052170061699,1.0,0.4912718445454291,0.0,1,80
0.5062130807743093,0.0,0.49378691922569073,1.0,0.49351875407442575,0.0,1,81
0.5090440121176792,0.0,0.49095598788232075,1.0,0.4908888942755781,0.0,1,82
0.5050727932225693,0.0,0.49492720677743074,1.0,0.4945914645349677,0.0,1,83
0.5076326491577446,0.0,0.49236735084225536,1.0,0.4923637671677082,0.0,1,84
0.5096514476010349,0.0,0.49034855239896513,1.0,0.49041345663610236,0.0,1,85
0.5039690558792107,0.0,0.4960309441207893,1.0,0.4960149037533358,0.0,1,86
0.5035595760028341,0.0,0.4964404239971659,1.0,0.49650003713572033,0.0,1,87
0.5027586408171396,0.0,0.4972413591828604,1.0,0.49734086837546576,0.0,1,88
0.5090291295638963,0.0,0.49097087043610366,1.0,0.49103852807589016,0.0,1,89
0.5058137544288004,0.0,0.4941862455711996,1.0,0.4941113599161648,0.0,1,90
0.5035654254396336,0.0,0.49643457456036644,1.0,0.49626234220435705,0.0,1,91
0.5066464682430732,0.0,0.49335353175692676,1.0,0.4934272967530616,0.0,1,92
0.5078397719870178,0.0,0.4921602280129822,1.0,0.4922820850552148,0.0,1,93
0.5093854517863925,0.0,0.4906145482136075,1.0,0.4904447423190392,0.0,1,94
0.5056053635499965,0.0,0.4943946364500035,1.0,0.49451005702695994,0.0,1,95
0.5089057020494421,0.0,0.4910942979505579,1.0,0.49127758290924356,0.0,1,96
0.5046878002292896,0.0,0.4953121997707104,1.0,0.49528743070969766,0.0,1,97
0.5044266946668988,0.0,0.4955733053331012,1.0,0.49557495251314837,0.0,1,98
0.5073084354400634,0.0,0.49269156455993657,1.0,0.49254510380349764,0.0,1,99
0.5044183768550857,0.0,0.4955816231449143,1.0,0.4955745538579352,0.0,1,100
0.5044096309204859,0.0,0.49559036907951415,1.0,0.4955745538579352,0.0,1,101
0.5062625169325028,0.0,0.4937374830674972,1.0,0.4935732614459471,0.0,1,102
0.5030343502177491,0.0,0.4969656497822509,1.0,0.49716336383864046,0.0,1,103
0.5083900145515952,0.0,0.49160998544840484,1.0,0.4919415503772915,0.0,1,104
0.5063561365725892,0.0,0.49364386342741085,1.0,0.4938195742414024,0.0,1,105
