omega,phi,eta,xi,delta,rscore,label,sample_idx
0.5032355766489732,0.0,0.4967644233510268,1.0,0.4968004861911027,0.0,1,0
0.5018531254340411,0.0,0.49814687456595885,1.0,0.49816013796234504,0.0,1,1
0.5016896432404542,0.0,0.4983103567595458,1.0,0.49822463646794846,0.0,1,2
0.50281187143809,0.0,0.49718812856190997,1.0,0.49734086837546576,0.0,1,3
0.5015667888445002,0.0,0.49843321115549977,1.0,0.49867598255630446,0.0,1,4
0.502085595881457,0.0,0.49791440411854304,1.0,0.4978567517638296,0.0,1,5
0.5021343793138816,0.0,0.4978656206861184,1.0,0.4975585379629139,0.0,1,6
0.5010393477067173,0.0,0.4989606522932827,1.0,0.4990850292584237,0.0,1,7
0.5017549045705562,0.0,0.49824509542944384,1.0,0.49826504572731545,0.0,1,8
0.5013020432720786,0.0,0.4986979567279214,1.0,0.49880840618936984,0.0,1,9
0.5018884985806022,0.0,0.49811150141939775,1.0,0.498083378893136,0.0,1,10
0.5018015761548977,0.0,0.49819842384510227,1.0,0.4982264351713443,0.0,1,11
0.5013996161106842,0.0,0.4986003838893158,1.0,0.49867598255630446,0.0,1,12
0.5022999288741836,0.0,0.4977000711258164,1.0,0.49770363698073633,0.0,1,13
0.5023518254294338,0.0,0.4976481745705662,1.0,0.49766380342256156,0.0,1,14
0.5014422487776893,0.0,0.4985577512223107,1.0,0.4984725656360172,0.0,1,15
0.5012144382496749,0.0,0.49878556175032507,1.0,0.4987547501801283,0.0,1,16
0.5018558779819471,0.0,0.4981441220180529,1.0,0.49821559419013894,0.0,1,17
0.5018793924027425,0.0,0.4981206075972575,1.0,0.498156063051218,0.0,1,18
0.5014117126947735,0.0,0.49858828730522653,1.0,0.49877544108786526,0.0,1,19
0.502298720576106,0.0,0.49770127942389397,1.0,0.4975585379629139,0.0,1,20
0.501628041267395,0.0,0.498371958732605,1.0,0.4983919635883504,0.0,1,21
0.5013877558089791,0.0,0.4986122441910209,1.0,0.49880840618936984,0.0,1,22
0.5013755277370868,0.0,0.4986244722629132,1.0,0.49843040904606034,0.0,1,23
0.5013576582719862,0.0,0.4986423417280138,1.0,0.4985338450369367,0.0,1,24
0.5015803766077405,0.0,0.49841962339225954,1.0,0.4985337319568867,0.0,1,25
0.5015561926489971,0.0,0.4984438073510029,1.0,0.49851109814034755,0.0,1,26
0.5019905872686795,0.0,0.4980094127313205,1.0,0.498083378893136,0.0,1,27
0.5022733415550442,0.0,0.4977266584449558,1.0,0.4979105021116288,0.0,1,28
0.5016937534149619,0.0,0.4983062465850381,1.0,0.49821559419013894,0.0,1,29
0.5015764967120261,0.0,0.4984235032879739,1.0,0.4983066149516168,0.0,1,30
0.5021903127904281,0.0,0.49780968720957186,1.0,0.4977784399040773,0.0,1,31
0.504042693786105,0.0,0.495957306213895,1.0,0.495822532478128,0.0,1,32
0.502543478254984,0.0,0.497456521745016,1.0,0.4971264707620942,0.0,1,33
0.5023924873299574,0.0,0.49760751267004255,1.0,0.49767873581322086,0.0,1,34
0.5021239576251177,0.0,0.49787604237488226,1.0,0.49795381729401994,0.0,1,35
0.5018670880355094,0.0,0.4981329119644906,1.0,0.4983796807247202,0.0,1,36
0.5029732473846888,0.0,0.49702675261531115,1.0,0.49708377567964485,0.0,1,37
