cenario,phi_integral,phi_max,tau_phi_max,tau_K_max,eta_K,xi_K,nu_s,def_K,frac_K,frac_N,frac_U,PR
COVID 2020,413.63433544861573,3.847342022776981,980.0,68.0,0.5173281278180359,0.2770979020979021,45.26882983039444,0.6261667767905441,0.5807106598984771,0.2568527918781726,0.16243654822335024,0.9849698856146111
SVB 2023,182.89426347827765,2.682816180274184,467.0,58.0,0.35092377155713367,0.18911917098445596,29.535644351959053,0.6380117408919291,0.3200663349917081,0.417910447761194,0.2620232172470978,0.997283192297405
EM 2018,114.32267544972783,0.6058594046122363,956.0,29.0,0.5354824169581162,0.5513361462728551,10.010074302139072,0.6545376398122805,0.6416967509025271,0.0,0.3583032490974729,0.9974919025512985
EU Housing 2007,104.9286049290807,0.905335504997432,1223.0,38.0,0.33139098116376076,0.1861198738170347,18.353727628039827,0.6467588851294049,0.5007898894154819,0.3791469194312796,0.12006319115323855,0.9997769090979277
China 2015,50.9505289019068,0.4805317077836826,602.0,10.0,0.32926929086775003,0.2077922077922078,4.652061540700321,0.4577545941859089,0.06936936936936937,0.35405405405405405,0.5765765765765766,0.9998795375205863
Commodities 2014,37.25518238392126,0.5876273675572794,359.0,5.0,0.32345626178202685,0.5777777777777777,1.02503744930924,0.3497518709091153,0.0605245460659045,0.5023537323470074,0.4371217215870881,0.9965275798564892
Flash Crash 2010,33.98047904355185,0.3032608758423768,730.0,20.0,0.33058836933574975,0.16180371352785147,9.99052627170963,0.6019048243880808,0.43888242142025613,0.42258440046565776,0.13853317811408614,0.9659215638750228
Global Equity 2015,24.14457220261133,0.4551860517393502,518.0,6.0,0.3233713373361218,0.32098765432098764,2.965254149912362,0.3019258952187895,0.043654001616814875,0.0,0.9563459983831851,0.9984304122644494
Euro 2011,24.127374877038896,0.2939591882688758,435.0,20.0,0.5796199051657983,0.42,8.163660636138005,0.4299397039897994,0.06724949562878278,0.0,0.9327505043712172,0.9997200960701734
Volmageddon 2018,21.430008326813912,0.2454136748049517,538.0,19.0,0.3270767404102559,0.12149532710280374,9.999203206827824,0.6578443391857383,0.43912448700410395,0.0,0.560875512995896,0.9684783807026731
Brexit 2016,14.988570279695711,0.2221325942192045,282.0,36.0,0.34776451735170627,0.4180327868852459,13.637337144720481,0.536015595830503,0.07109557109557109,0.6363636363636364,0.2925407925407925,0.9985388683385514
Juros 2022,14.753640295998295,0.2716481811606609,234.0,33.0,0.2462643633381771,0.13559322033898305,12.786045744518155,0.598252307564573,0.08071135430916553,0.0,0.9192886456908345,0.9969094337531809
GFC 2008,8.049111798096092,0.2414410214291064,256.0,386.0,1.1233499843734438,0.2857142857142857,700.451921025472,0.4964884149173441,0.30434782608695654,0.0,0.6956521739130435,0.9997335115114406
Credit Bubble 2007,0.00136,1e-06,0.0,10.0,0.198019801980198,1.0,,0.6620205637073618,0.04779411764705882,0.0,0.9522058823529411,
LTCM 1998,0.001061,1e-06,0.0,23.0,0.4878048780487805,0.0,,0.886852325092149,0.5692742695570217,0.0,0.43072573044297835,
Taper 2013,0.0009830000000000004,1e-06,0.0,11.0,0.198019801980198,0.22727272727272727,,0.6463623259842193,0.044760935910478125,0.0,0.9552390640895219,
Repo 2019,0.0006050000000000001,1e-06,0.0,104.0,0.198019801980198,0.1441717791411043,,0.9507011835267375,0.5388429752066116,0.0,0.46115702479338844,
