date,mean_corr,curv,eta,entropy,dominance,h1_count,v_raw,Oh,Xi,phi,DEF,regime,phi_c,Oh_pre,Xi_c,sps
2022-02-03,0.11030997987519729,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,1.0,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-04,0.0864599168946995,0.0,20.0,1.2993228714317495e-10,0.9999999998690677,1,1.701232865618762e-20,0.016072002571568628,0.25,1e-06,0.12523898310150516,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-07,0.06238978412891457,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,0.6140690104786164,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-08,0.0620871881741447,1.0,0.9523809523809523,4.386457863502663e-11,0.9999999999551354,1,1.9679648671476537e-21,0.33751205400260365,0.25,1e-06,0.559954475552226,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-09,0.06615847920195747,1.0,0.9523809523809523,4.3222692082731037e-10,0.9999999995667731,1,1.8725232848764353e-19,0.33751205400260365,0.25,1e-06,1.0,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-10,0.1086732108471239,1.0,0.9523809523809523,0.0,0.0,0,0.0,0.33751205400260365,0.0,1e-06,1.0,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-11,0.10288262462175507,0.0,20.0,1.2070866527805675e-10,0.9999999998782914,1,1.469128786909866e-20,0.016072002571568628,0.25,1e-06,0.12523898310150516,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-14,0.1026900635596288,0.0,20.0,2.3447577212877578e-11,0.9999999999755524,1,5.7323593567298815e-22,0.016072002571568628,0.25,1e-06,1.0,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-15,0.09888010540184454,1.0,0.9523809523809523,0.6843768617708692,0.5661235553796075,2,0.2969349995656066,0.33751205400260365,0.5,1e-06,0.4781584134084996,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-16,0.11094268050789793,1.0,0.9523809523809523,1.318609331963658e-09,0.9999999986803907,1,1.7400491516517933e-18,0.33751205400260365,0.25,1e-06,0.7509020170669083,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-17,0.11220808177329918,1.0,0.9523809523809523,9.976941494674571e-11,0.9999999998992306,1,1.0053703367198103e-20,0.33751205400260365,0.25,1e-06,1.0,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-18,0.11274450187493668,1.0,0.9523809523809523,0.1966194338003549,0.9506423797729762,2,0.009704667342770371,0.33751205400260365,0.5,1e-06,0.3001375921631042,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-22,0.10556472512994255,0.0,20.0,0.0,0.0,0,0.0,0.016072002571568628,0.0,1e-06,0.22235389466734257,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-23,0.08736770475900911,1.0,0.9523809523809523,9.286638124720568e-11,0.9999999999061336,1,8.717029093243536e-21,0.33751205400260365,0.25,1e-06,0.5483225835021521,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-24,0.08094441790093965,2.0,0.48780487804878053,3.0180968834739404e-11,0.999999999968819,1,9.410711809979617e-22,0.6589521054329958,0.25,1e-06,0.032537103807382395,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-25,0.08593725115464247,0.0,20.0,0.8683865867087294,0.6672300913575772,4,0.28897292512536926,0.016072002571568628,1.0,1e-06,0.2303454236058211,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-02-28,0.10854942159289988,0.0,20.0,0.5539070979195043,0.8219390405310858,3,0.09862922931218875,0.016072002571568628,0.75,1e-06,0.4776198810745167,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-03-01,0.12632005675483937,1.0,0.9523809523809523,0.6597090686499854,0.6285762689245917,2,0.2450316037022602,0.33751205400260365,0.5,1e-06,0.8359632956831218,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-03-02,0.11494519972780842,1.0,0.9523809523809523,1.1373142105476906,0.49930830060073395,4,0.5694437848300579,0.33751205400260365,1.0,1e-06,0.07925838596848489,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-03-03,0.12081831212265993,1.0,0.9523809523809523,0.40747037640182493,0.8586146347124145,2,0.05761034801144198,0.33751205400260365,0.5,1e-06,0.4889801866897163,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-03-04,0.1476118084813737,1.0,0.9523809523809523,0.9480119519130674,0.5056143324623207,3,0.4686835216802402,0.33751205400260365,0.75,1e-06,0.21019818222490239,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
2022-03-07,0.1486846486846487,0.0,20.0,1.015812869949725,0.46145649998682187,3,0.5470594183411563,0.016072002571568628,0.75,1e-06,0.3655366463763696,Utsuroi,0.4757230420653323,0.9803921568627451,4.0,0
