layer,head,n,mean_fact,mean_hallu,abs_diff,p_value
31,14,40,0.09779046226114256,0.10485355580101315,0.007063093539870585,9.230946748358731e-10
31,25,40,0.07622764132614938,0.08055666003716659,0.004385414873022714,1.3583994913221507e-08
31,3,40,0.05959194177384723,0.06365590766575896,0.004063965891911729,1.834779190877478e-10
31,2,40,0.06872420217857382,0.07252596626529587,0.003813427511579117,1.950877319895214e-08
30,18,40,0.0682589934062752,0.07182168761218931,0.0035626942059141216,1.7164835574765448e-11
31,0,40,0.06557972260569978,0.06896277115605365,0.003410964295172257,7.714540239459798e-10
31,5,40,0.05540632191337447,0.0587813307290314,0.003375008815656927,4.178035069015944e-09
31,23,40,0.054105026452419235,0.057300346350993014,0.0031953198985737617,6.217541513900094e-11
31,26,40,0.054147630727724064,0.05726625720161478,0.0031266546340851507,1.529234425590646e-11
31,24,40,0.04372901579081419,0.04680269947879553,0.0030736836879813366,3.082580728984439e-10
30,25,40,0.0838486240664608,0.08667119365370579,0.0029835654336933847,1.0869057855015814e-07
30,17,40,0.05399672683877316,0.056718904852059326,0.002807398356968616,4.695898515540565e-09
30,23,40,0.04007962439850839,0.04267698543588328,0.0026110914430926943,1.1768336091693017e-09
31,6,40,0.04905293340327597,0.051582017578010085,0.002529084174734116,2.401946523908359e-09
30,19,40,0.046941786681622674,0.04942034073455146,0.0024842803661564417,6.640881741061511e-10
29,10,40,0.07301085408681757,0.07545590132929736,0.0024522127047438844,1.071573742357183e-09
31,31,40,0.040579081826393096,0.04282038653870302,0.0022413047123099267,1.3340987942493626e-11
30,27,40,0.07121626866510025,0.07334179057908755,0.002138052622893366,1.0042540727539002e-09
30,6,40,0.058765271983499456,0.06082821132090251,0.002108651826507991,1.4343734363638064e-09
29,25,40,0.04988435629613998,0.05143268824904686,0.0020958532898415344,0.0002835732126888248
31,11,40,0.05842360409474147,0.06045862552594452,0.0020482759838387284,1.713763905599584e-09
29,26,40,0.03508870039921415,0.037098814764180865,0.002031328089629429,2.374181385525759e-08
31,27,40,0.042604827330059346,0.04458483297013814,0.0020123307132384064,6.09439961873669e-08
29,8,40,0.05288965085237372,0.0548688764021261,0.0019986060219652907,8.464080752914509e-09
31,1,40,0.042967265114832266,0.04492991320054575,0.0019816160850045506,3.660206189749586e-09
31,28,40,0.050905033005455326,0.05286975944245333,0.0019685152727535204,2.40869524209026e-09
30,0,40,0.06838325379337136,0.07030220904899774,0.0019658294967824534,4.9591663359872986e-08
29,16,40,0.03704429802816629,0.03896294185184329,0.0019207580676877042,4.902433410320494e-09
31,15,40,0.0337172583411092,0.03548729688955231,0.0018067909106055755,3.996327191238773e-08
29,27,40,0.042518033782101804,0.04427769142905056,0.0018037726797403575,3.3305169670196965e-07
29,28,40,0.04638469565777168,0.04816745619192706,0.001798510621155574,3.777513488317537e-09
31,18,40,0.03687160253984162,0.03859376689796398,0.0017381168883629193,1.2863386335546436e-08
29,30,40,0.042653796789451165,0.044341737991275366,0.0016945344455209198,9.818313575314546e-11
31,9,40,0.029263827841818746,0.030940286074075805,0.0016814642277070625,4.587841628149065e-10
30,5,40,0.03440791135566497,0.03596130726441072,0.0015951432812299504,2.5184268178932644e-07
31,7,40,0.06687973145281115,0.06839330925817047,0.0015907599883778502,2.4588311587385774e-07
31,12,40,0.04533873015048101,0.04669659518830923,0.0015516789807290148,5.6590007233902625e-06
29,31,40,0.05949780750464791,0.060920048703538766,0.001495196038760022,2.4289612727013306e-07
30,22,40,0.034515131578721193,0.03592514482355654,0.0014744643788106972,1.9297456230958318e-07
31,8,40,0.0305909906412143,0.03203645960565049,0.0014711660242333158,1.867711005805608e-08
31,10,40,0.028424218971920396,0.02980117724644943,0.0013944930802649042,4.080956878817039e-08
30,10,40,0.036056880111509114,0.03737212446888264,0.0013682807283360355,2.0432040841393644e-08
30,1,40,0.05607847139003295,0.057350149417548756,0.0013643570010002152,8.54552269847902e-08
30,16,40,0.04937609161872341,0.050682509051252975,0.001355937298572698,1.406690844683103e-07
29,18,40,0.024744856677490056,0.026078133333510202,0.00134147004087989,8.778248243112803e-08
29,1,40,0.023278819037005828,0.024552302682256,0.001328235950604904,2.3202635194473253e-07
29,4,40,0.027476940299897522,0.02876342602833808,0.00128911927108477,7.4610772905814e-09
29,29,40,0.029460644380559543,0.03065531848040761,0.0012865563578935862,5.296868972077982e-07
30,24,40,0.06438650909032187,0.06539493660471336,0.0012479936025356784,0.0003080688212814931
29,5,40,0.025669432768854444,0.026878673715602257,0.0012262494173239304,5.056308763861121e-07
31,29,40,0.04993049515530976,0.05112912805981893,0.0012100931293180426,2.4648415440640367e-12
31,22,40,0.042182679367448475,0.04334792205009698,0.0011884033143368,7.250886497119235e-09
30,20,40,0.04216535063047685,0.04329197429779245,0.001173582107712161,5.419456397542404e-09
30,8,40,0.039521646006899176,0.04067489949579299,0.0011714322192156825,3.8109515002364846e-08
30,26,40,0.06675887666496771,0.06676177138624217,0.0011286364671432149,0.9917180646279172
30,4,40,0.027823578646445673,0.028913565552153686,0.0011235615290447311,3.3185549418587335e-07
30,9,40,0.05797606581141841,0.058800629489497755,0.001115111532139482,0.00028580518052518435
29,11,40,0.06712163356312266,0.0678798700332038,0.0010976700829906914,0.0009003056521690278
30,30,40,0.0396933467255989,0.038648140029950095,0.0010961571871140904,1.7062720298588592e-07
29,19,40,0.028263373993569495,0.02934196351573918,0.0010817861807558213,7.956887268146444e-09
31,4,40,0.03142385241750591,0.03247291327923871,0.0010690263364343607,3.883415073109591e-08
29,23,40,0.0461563443675726,0.04714527918696817,0.001046566515276095,1.5933467275495665e-07
29,0,40,0.02438954459107557,0.025412120128921807,0.0010269675053580563,4.764118437140231e-08
30,28,40,0.029903339233158487,0.030922476662284603,0.0010263411307060819,1.891821181829131e-09
29,17,40,0.028097758964238023,0.029066445295320802,0.0010100936387543572,8.52878947613448e-08
30,13,40,0.049005373868561755,0.04978507585032924,0.0010033276915874779,0.00015947100846870708
29,9,40,0.06056352690517271,0.060266747594959626,0.0009975424596679696,0.16665683197038839
30,2,40,0.06619748666239662,0.06647022485753722,0.0009869355290873258,0.19544907790173655
