layer,head,n,mean_fact,mean_hallu,abs_diff,p_value
31,1,40,0.05190765828561966,0.05553503419171115,0.0036347534849743347,1.1503314915986357e-10
31,14,40,0.06446618245540833,0.0679627168497241,0.00353304605367919,3.833772720863838e-10
31,12,40,0.06054246644827125,0.06365859781776244,0.003161476234206191,3.627997603239684e-09
30,28,40,0.05653865754665931,0.059475592341679914,0.002975952024827582,2.742427174610581e-10
31,31,40,0.05388888022587781,0.05675362936493272,0.0029088187125718445,1.8716776874473952e-09
31,8,40,0.04952694840104798,0.05234807699665149,0.0028503738277695007,2.5916682866795243e-10
31,24,40,0.06049249766360824,0.06325953327778291,0.0028238673049999696,8.178241620105414e-09
30,19,40,0.04870433441016841,0.05150369511637922,0.0028160845619447433,5.511524366686671e-10
30,29,40,0.05979904943125967,0.06244706502123498,0.0026855875462575827,9.762254214461784e-09
31,18,40,0.05977390757238179,0.062382825626568605,0.0026523906051745057,1.613188839355974e-07
31,0,40,0.047124423488133525,0.04952362826367028,0.0024782498862026252,1.5419603655504352e-07
31,9,40,0.04462962514409028,0.04708024969087392,0.002462120973573735,5.606644207881848e-11
30,11,40,0.037657159834516174,0.04010326483821881,0.0024562347988639566,2.0469792679030832e-10
31,20,40,0.04809811201475831,0.05052215896198704,0.0024443165493555304,4.8438338117211205e-09
31,17,40,0.060402770140585,0.06278261745593607,0.0024056033646282214,7.696816673191034e-09
31,26,40,0.04480448180496059,0.046998146141811116,0.0022999595547789227,8.392636539298742e-07
31,28,40,0.040143896164263115,0.04231360157647583,0.002262730696043811,8.715840133826345e-10
31,21,40,0.04403738604738138,0.04600110794175575,0.0021776049013291165,1.026960745343122e-06
31,4,40,0.05689596468224055,0.058965712316716504,0.002107864061319137,1.1779101184466931e-08
30,15,40,0.04809909594265241,0.05011319956290383,0.002087577377435923,4.1153099829236777e-07
29,14,40,0.038980286955180986,0.04100908293924704,0.002053417314577389,1.3155026640248558e-08
30,16,40,0.04614657195957451,0.0480964674350685,0.0020394411899900327,7.191251414285348e-08
29,9,40,0.04449742467572704,0.04651435165890357,0.002038736773250819,1.941997537494305e-08
31,30,40,0.04319110341907538,0.045175756013454235,0.0020204445528939677,1.1233574387126641e-10
30,7,40,0.04269281968183045,0.04459706958473777,0.002015904677136428,3.7153455129583644e-08
29,15,40,0.03547453565824649,0.037437725188005234,0.0020139710586778697,2.7260361295942866e-08
31,27,40,0.050987738327082845,0.052860259845722235,0.0020119579468267047,3.908889989101104e-07
31,3,40,0.047457260743527005,0.04935452047675172,0.002006236783293274,3.0502892756182335e-07
31,13,40,0.056171869217165125,0.058162244596010756,0.0019937599327253417,8.936108288696291e-08
31,15,40,0.04607210022728853,0.04781267886203647,0.00198656556925341,1.2780627872597127e-06
30,5,40,0.0359360696278596,0.03788536987539156,0.001974463596338555,7.069222408592903e-10
30,22,40,0.04785453538403644,0.04979667309087889,0.001945308718864274,2.642568881477893e-09
31,29,40,0.0435140601286832,0.045435675984526004,0.0019426748184938592,1.9242503469615427e-08
31,10,40,0.038809799492937544,0.04061602945014787,0.001929569790633354,1.6226996793185871e-07
31,6,40,0.048845897609516783,0.050743364864382266,0.0019291581699243006,1.1363540636665587e-09
29,20,40,0.04400099028036657,0.045919890306159214,0.0019280421845189577,2.913118836741001e-10
29,25,40,0.03783893260422278,0.039711112311661766,0.0019209804451389505,2.818630692097204e-07
30,27,40,0.04744960906094751,0.04935454194393103,0.0019206271741905132,1.2854437297031037e-09
29,7,40,0.0339837542610325,0.03589929681787367,0.0019161529440273359,1.866584936360222e-09
30,30,40,0.04151983725870333,0.04333640518549632,0.0018875389963926843,6.650349157985332e-07
30,10,40,0.042801936895710616,0.044605940666138356,0.001886037616712279,2.0427561122656349e-07
30,0,40,0.038320960790449034,0.04015574957581489,0.0018833606069099784,9.104838178718783e-09
31,16,40,0.05472949240306826,0.056601841024425184,0.0018753788998093345,3.5801875769182247e-09
31,5,40,0.03926852117778794,0.04106887426119062,0.0018574085757889925,6.699887762125386e-08
29,23,40,0.03280933219387465,0.03461287257650396,0.0018419696398173334,1.2189445928681901e-08
30,12,40,0.04384358480695261,0.04549675434073147,0.0018253954521720132,2.0751619054960825e-05
29,10,40,0.031213212653598055,0.03302941502170319,0.0018198951622804467,5.235489871770203e-10
31,25,40,0.03994999228774232,0.04162671917847716,0.001818054194623458,5.645085401157101e-07
30,25,40,0.0409769381453427,0.04271507983238327,0.0017798378061171405,4.636335354727866e-08
29,3,40,0.03826256635412351,0.03999589922701528,0.001733332872891779,3.8684564091372565e-10
31,22,40,0.05526446999302105,0.056893086840582564,0.0017180546831728788,3.103388896575416e-06
29,22,40,0.047256605667990385,0.04897017735452381,0.0017135716865334181,6.940312780726743e-09
31,7,40,0.039672086843069124,0.04131271354124314,0.0016836784220642374,3.111558341352243e-08
31,23,40,0.03742548957224141,0.03904740754180848,0.0016678416146464928,4.148652917789723e-09
29,11,40,0.04867764756325619,0.050318449869532336,0.0016465506428715595,9.152262771561612e-08
29,4,40,0.04209513557206156,0.04371740074181313,0.0016227149761024822,6.299291177705701e-08
30,1,40,0.056041595750253005,0.05749131082834789,0.0016006563189277546,4.769767350382145e-07
29,17,40,0.047217527414096724,0.04873548850420716,0.0015789874461989962,1.3025383144579794e-06
30,9,40,0.057509199128008046,0.05900294089706981,0.001563554190741831,9.200390698915527e-08
30,24,40,0.05539121083657822,0.05688466984156613,0.0015617405401918045,2.7039869518451416e-06
29,21,40,0.04523883020056109,0.046757290795536796,0.0015346928967659552,9.16935465922229e-08
30,20,40,0.038469551796340186,0.03979742298853729,0.0015162167110350747,1.1869798663191184e-05
30,3,40,0.042547097861862004,0.04382839933812954,0.001507369181371029,6.0302679004702495e-06
29,12,40,0.03377644500140174,0.035154009768706806,0.0015009720286311202,2.91834631770798e-07
29,2,40,0.0411465906428845,0.04264539685559982,0.0014991567098639627,2.0570958245780566e-09
